method,path,group,purpose,auth_required,query_params,body_params,headers,response_keys,status_samples,source
POST,/ucenter/rest/sendBindMsg.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,{},{},{},,,current_spa_static_template
POST,/ucenter/rest/sendEmailDynamic.xhtml,auth,静态包发现，未在本次抓包中拿到业务说明,False,{},{},{},,,current_spa_static_template
POST,/thvendor/ad/getNewAdList.xhtml,cms,[crawler] Banner / ad list shown on home + landing pages.,False,{},"{""adflag"": ""cardlist"", ""originType"": ""PC""}","{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""content-type"": ""application/x-www-form-urlencoded;charset=UTF-8"", ""lang"": ""en""}","errcode,data,success",200,"current_playwright_crawl,legacy_anticket_har,local_wk_endpoints_registry"
POST,/thvendor/campaign/getCachedCampaign.xhtml,cms,静态包发现，未在本次抓包中拿到业务说明,False,{},{},{},,,current_spa_static_template
POST,/thvendor/campaign/getChargeType.xhtml,cms,静态包发现，未在本次抓包中拿到业务说明,False,{},{},{},,,current_spa_static_template
GET,/thvendor/campaign/listCachedCampaign.xhtml,cms,[crawler] Cached campaign list (homepage).,False,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success",200,"current_playwright_crawl,local_wk_endpoints_registry"
GET,/thvendor/campaign/order/getCampaignOrderConstant.xhtml,cms,静态包发现，未在本次抓包中拿到业务说明,False,{},{},{},,,current_spa_static_template
POST,/thvendor/member/address/getMemberAddressById.xhtml,member,创建/保存相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/address/getMemberAddressList.xhtml,member,[crawler] Member shipping address list.,True,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success",200,"current_playwright_crawl,local_wk_endpoints_registry"
POST,/thvendor/member/address/remove.xhtml,member,创建/保存相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/address/save.xhtml,member,创建/保存相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/campaign/approval/approvalDetail.xhtml,member,详情查询接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/campaign/approval/cancel.xhtml,member,取消/撤销相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/campaign/approval/create.xhtml,member,创建/保存相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/certification/getVerifyType.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/clearMember/checkCode.xhtml,member,Step 3 of account-deletion — verify the entered code.,True,{},{},{},,,local_wk_endpoints_registry
POST,/thvendor/member/clearMember/checkCode.xhtml,member,删除/移除相关接口,True,{},{},{},,,current_spa_static
GET,/thvendor/member/clearMember/confirm.xhtml,member,Final step of account-deletion — submit deletion request.,True,{},{},{},,,"current_spa_static,local_wk_endpoints_registry"
GET,/thvendor/member/clearMember/reasonList.xhtml,member,List of selectable reasons for leaving (account deletion).,True,{},{},{},,,"current_spa_static,local_wk_endpoints_registry"
GET,/thvendor/member/clearMember/sendCode.xhtml,member,Step 2 of account-deletion — send the verification code.,True,{},{},{},,,local_wk_endpoints_registry
POST,/thvendor/member/clearMember/sendCode.xhtml,member,删除/移除相关接口,True,{},{},{},,,current_spa_static
GET,/thvendor/member/clearMember/validateWay.xhtml,member,Step 1 of account-deletion — which channel (email/SMS) to verify on.,True,{},{},{},,,local_wk_endpoints_registry
POST,/thvendor/member/clearMember/validateWay.xhtml,member,删除/移除相关接口,True,{},{},{},,,current_spa_static
GET,/thvendor/member/common/getDynamicCode.xhtml,member,获取电子票动态码,True,"{""uuid"": ""${uuid}"", ""needServiceTime"": ""true""}",{},{},,,"current_spa_static,current_spa_static_template"
GET,/thvendor/member/common/getFreightByArea.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/coupon/getByStatus.xhtml,member,优惠/折扣相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/coupon/getMemberCouponsByStatus.xhtml,member,"[crawler] My coupons, filtered by status (notStart / inUse / expired).",True,"{""status"": ""notStart""}",{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success",200,"current_playwright_crawl,current_spa_static_template,local_wk_endpoints_registry"
POST,/thvendor/member/coupon/orderDetail.xhtml,member,详情查询接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/donation/addDonation.xhtml,member,创建/保存相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/donation/cancelDonation.xhtml,member,取消/撤销相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/donation/getDonationConfig.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/favorites/deleteFavoriteById.xhtml,member,删除/移除相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/favorites/isFavorites.xhtml,member,[deep-crawler] Did the logged-in member favourite this program.,True,{},"{""relatedId"": ""225529"", ""tag"": ""program"", ""showToast"": ""noMsg""}","{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""content-type"": ""application/x-www-form-urlencoded;charset=UTF-8"", ""lang"": ""en""}","msg,errcode,data,success",200,"current_playwright_crawl,current_spa_static_template,legacy_anticket_har,local_wk_endpoints_registry"
GET,/thvendor/member/favorites/listFavorites.xhtml,member,[crawler] My wishlist / favorites.,True,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success",200,"current_playwright_crawl,local_wk_endpoints_registry"
GET,/thvendor/member/favorites/saveFavorites.xhtml,member,创建/保存相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/general/getShowTicketInfo.xhtml,member,详情查询接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/getCertificationList.xhtml,member,[crawler] ID certification status (real-name).,True,{},{},"{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en""}","errcode,data,success",200,"current_playwright_crawl,legacy_anticket_har,local_wk_endpoints_registry"
GET,/thvendor/member/getPaymentGatewayList.xhtml,member,列表/分页查询接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/getPaymentGatewayList.xhtml,member,列表/分页查询接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/info/getMemberInfo.xhtml,member,[crawler] Logged-in member's core info bundle.,True,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success",200,"current_playwright_crawl,local_wk_endpoints_registry"
GET,/thvendor/member/info/getPersonalInfo.xhtml,member,[crawler] Profile page data.,True,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success",200,"current_playwright_crawl,local_wk_endpoints_registry"
GET,/thvendor/member/info/getPersonalInfoDynamicField.xhtml,member,[crawler] Dynamic / custom profile fields.,True,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success",200,"current_playwright_crawl,local_wk_endpoints_registry"
POST,/thvendor/member/mall/getFreightByArea.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/memberRemindEvent/list.xhtml,member,列表/分页查询接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/memberRemindEvent/save.xhtml,member,创建/保存相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/membership/activeMembership.xhtml,member,会员卡/会员权益相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/membership/activeMembershipWithPersionInfo.xhtml,member,详情查询接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/membership/bindPerson/acceptBind.xhtml,member,会员卡/会员权益相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/membership/bindPerson/startBind.xhtml,member,会员卡/会员权益相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/membership/cancelOrder.xhtml,member,取消未支付订单,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/membership/getMembershipDetail.xhtml,member,详情查询接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/membership/getMembershipEncode.xhtml,member,会员卡/会员权益相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/membership/getMembershipPersonEncode.xhtml,member,会员卡/会员权益相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/membership/getMemberships.xhtml,member,[crawler] My membership cards list.,True,"{""pageNo"": ""1"", ""pageSize"": ""60"", ""status"": ""new""}",{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success",200,"current_playwright_crawl,local_wk_endpoints_registry"
POST,/thvendor/member/membership/getOrderDetail.xhtml,member,详情查询接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/membership/getOrderList.xhtml,member,列表/分页查询接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/membership/gotoPay.xhtml,member,会员卡/会员权益相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/membership/sendActiveEmail.xhtml,member,会员卡/会员权益相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/membership/sendActiveMobile.xhtml,member,会员卡/会员权益相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/membership/transfer/acceptTransfer.xhtml,member,会员卡/会员权益相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/membership/transfer/listTransferRecords.xhtml,member,列表/分页查询接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/membership/transfer/startTransfer.xhtml,member,会员卡/会员权益相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/membershiporder/refund/applay.xhtml,member,退票/退款相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/partnerMember/available/list.xhtml,member,列表/分页查询接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/partnerMember/identity/bind.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/partnerMember/identity/list.xhtml,member,列表/分页查询接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/partnerMember/identity/unbind.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/record/getMemberRemainPointBeforeTime.xhtml,member,[crawler] Remaining points expiring soon.,True,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","msg,errcode,data,success",200,"current_playwright_crawl,current_spa_static_template,local_wk_endpoints_registry"
POST,/thvendor/member/record/listMemberPointReceiveRecord.xhtml,member,[crawler] Point-earning history.,True,{},"{""fluctuationType"": ""increase"", ""pageSize"": ""10"", ""pageNo"": ""1""}","{""content-type"": ""application/x-www-form-urlencoded;charset=UTF-8"", ""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success",200,"current_playwright_crawl,current_spa_static_template,local_wk_endpoints_registry"
GET,/thvendor/member/removeCertification.xhtml,member,删除/移除相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/saveCertification.xhtml,member,创建/保存相关接口,True,{},"{""realname"": ""***REDACTED***"", ""certificateType"": ""***REDACTED***"", ""certificateNo"": ""***REDACTED***"", ""selfFlag"": ""N""}","{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""content-type"": ""application/x-www-form-urlencoded;charset=UTF-8"", ""lang"": ""en""}","errcode,data,success",200,"current_spa_static_template,legacy_anticket_har"
GET,/thvendor/member/subscription/record/eventMsg/getLastSubscriptionRecord.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,"{""programId"": ""225518""}",{},"{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en""}","errcode,data,success",200,"current_spa_static_template,legacy_anticket_har"
GET,/thvendor/member/subscription/record/eventMsg/mine.xhtml,member,My event subscriptions / message inbox.,True,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success",200,"current_playwright_crawl,local_wk_endpoints_registry"
HEAD,/thvendor/member/subscription/record/eventMsg/mine.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,{},{},"{""accept"": ""*/*""}",,200,"current_playwright_crawl,current_spa_static"
GET,/thvendor/member/subscription/record/v2/save.xhtml,member,创建/保存相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/toggleSelf.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/transfer/pageList.xhtml,member,列表/分页查询接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/transfer/rule/times.xhtml,member,[crawler] Ticket-transfer rule: allowed times per ticket.,True,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success",200,"current_playwright_crawl,local_wk_endpoints_registry"
GET,/thvendor/member/wxMsg/cancle/subscribe/schedule/remind.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/wxMsg/subscribe/schedule/remind.xhtml,member,静态包发现，未在本次抓包中拿到业务说明,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/campaign/order/cancelOrder.xhtml,member-order,取消未支付订单,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/campaign/order/create.xhtml,member-order,创建非座位类订单,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/campaign/order/orderDetail.xhtml,member-order,详情查询接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/campaign/order/pageList.xhtml,member-order,列表/分页查询接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/campaign/order/pay.xhtml,member-order,支付/重新支付相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/membership/order/create.xhtml,member-order,创建非座位类订单,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/membership/order/discount/cancelDiscount.xhtml,member-order,查询座位/票价优惠,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/membership/order/discount/confirmDiscount.xhtml,member-order,查询座位/票价优惠,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/membership/order/discount/getDiscountRepo.xhtml,member-order,查询座位/票价优惠,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/membership/order/discount/useDiscount.xhtml,member-order,查询座位/票价优惠,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/membership/order/discount/usePoint.xhtml,member-order,查询座位/票价优惠,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/membership/order/renewPayOrder.xhtml,member-order,支付/重新支付相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/order/budgetTicketsRefundPlan.xhtml,member-order,退票/退款相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/order/getAllValidTicketList.xhtml,member-order,[crawler] My valid tickets (entry-ready).,True,"{""showToast"": ""noMsg""}",{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success",200,"current_playwright_crawl,current_spa_static_template,local_wk_endpoints_registry"
GET,/thvendor/member/order/getMemberOrderList.xhtml,member-order,"[crawler] My orders, paginated + filterable by status.",True,"{""pageNo"": ""1"", ""pageSize"": ""10"", ""status"": ""paid"", ""expireFlag"": ""N""}",{},"{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en""}","errcode,data,success",200,"current_playwright_crawl,legacy_anticket_har,local_wk_endpoints_registry"
GET,/thvendor/member/order/getTicketInfo.xhtml,member-order,详情查询接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/order/refundOrderDetails.xhtml,member-order,退票/退款相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/show/combo/order/cancelOrder.xhtml,member-order,取消未支付订单,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/show/combo/order/create.xhtml,member-order,创建非座位类订单,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/show/combo/order/orderDetail.xhtml,member-order,详情查询接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/show/combo/order/pay.xhtml,member-order,支付/重新支付相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/show/combo/order/repeatedPayOrder.xhtml,member-order,支付/重新支付相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/show/combo/order/updateContact.xhtml,member-order,更新/变更相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/show/combo/order/updateDelivery.xhtml,member-order,更新/变更相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/show/combo/order/updateTransport.xhtml,member-order,更新/变更相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/show/order/budgetTicketsRefundPlan.xhtml,member-order,退票/退款相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/show/order/cancelOrder.xhtml,member-order,取消未支付订单,True,"{""tradeNo"": ""412606061541241407"", ""showToast"": ""noMsg""}",{},"{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en""}","msg,errcode,data,success",200,legacy_anticket_har
GET,/thvendor/member/show/order/changeOrderCerts.xhtml,member-order,更新/变更相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/show/order/create.xhtml,member-order,创建非座位类订单,True,{},"{""command"": {""platform"": ""PC"", ""requestType"": ""encryption"", ""showId"": ""90051589"", ""items"": [{""ticketTypeId"": ""54604"", ""ticketType"": ""normal"", ""quantity"": 1}]}, ""showToast"": ""noMsg""}","{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""content-type"": ""application/x-www-form-urlencoded;charset=UTF-8"", ""lang"": ""en"", ""orderkey"": ""2606061541jcmzfpcdfe0b69332e5690""}","errcode,data,success",200,legacy_anticket_har
GET,/thvendor/member/show/order/orderDetail.xhtml,member-order,详情查询接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/show/order/pay.xhtml,member-order,支付/重新支付相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/show/order/refundOrder.xhtml,member-order,退票/退款相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/show/order/refundOrderDetails.xhtml,member-order,退票/退款相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/show/order/saveOutOfStockRegistration.xhtml,member-order,创建/保存相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/show/order/updateShowOrderContactName.xhtml,member-order,更新/变更相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/show/order/updateShowOrderExpressFee.xhtml,member-order,更新/变更相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/show/order/updateShowOrderTransport.xhtml,member-order,更新/变更相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/ticket/order/autoLock.xhtml,member-order,静态包发现，未在本次抓包中拿到业务说明,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/ticket/order/cancelOrder.xhtml,member-order,取消未支付订单,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/ticket/order/changeOrderCerts.xhtml,member-order,更新/变更相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/ticket/order/create.xhtml,member-order,创建非座位类订单,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/ticket/order/create2.xhtml,member-order,创建座位类订单,True,{},"{""requestType"": ""encryption"", ""createOrderReq"": {""platform"": ""PC"", ""scheduleId"": ""19614"", ""seats"": [{""ticketPriceId"": 62852, ""ticketPrice"": 10, ""venueAreaId"": 6339, ""packCode"": null, ""rowNo"": ""1"", ""colNo"": ""12""}]}, ""showToast"": ""noMsg""}","{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""content-type"": ""application/x-www-form-urlencoded;charset=UTF-8"", ""lang"": ""en"", ""orderkey"": ""2606061539ssmxphe20dfd4812d8c37a""}","errcode,data,success",200,legacy_anticket_har
POST,/thvendor/member/ticket/order/createOrder.xhtml,member-order,创建非座位类订单,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/ticket/order/detail.xhtml,member-order,详情查询接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/ticket/order/payOrder.xhtml,member-order,支付/重新支付相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/ticket/order/refundOrder.xhtml,member-order,退票/退款相关接口,True,{},{},{},,,current_spa_static_template
POST,/thvendor/member/ticket/order/unLockSeat.xhtml,member-order,静态包发现，未在本次抓包中拿到业务说明,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/ticket/order/updateTicketOrderContactName.xhtml,member-order,更新/变更相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/ticket/order/updateTicketOrderExpressFee.xhtml,member-order,更新/变更相关接口,True,{},{},{},,,current_spa_static_template
GET,/thvendor/member/ticket/order/updateTicketOrderTransport.xhtml,member-order,更新/变更相关接口,True,{},{},{},,,current_spa_static_template
POST,/pay/cybersource/payment/create.xhtml,payment,创建 CyberSource 支付请求/支付参数,False,{},"{""_payment_payload"": ""静态推断；本次未走支付页，需支付流程抓包补完整字段""}",{},,,current_spa_static
POST,/sms/common/commonUpload.xhtml,sms,通用文件上传,False,{},"{""file"": ""<binary>"", ""uploadToken"": ""***REDACTED***""}","{""content-type"": ""multipart/form-data""}",,,current_spa_static
GET,/thvendor/adinfo/getAdContentByIds.xhtml,thvendor,详情查询接口,False,{},{},{},,,current_spa_static_template
POST,/thvendor/adinfo/getAdInfoById.xhtml,thvendor,详情查询接口,False,{},"{""id"": ""23343""}","{""accept"": ""application/json, text/plain, */*"", ""cmpappkey"": ""ShanghaiCS"", ""content-type"": ""application/x-www-form-urlencoded;charset=UTF-8"", ""lang"": ""en""}","errcode,data,success",200,"current_playwright_crawl,legacy_anticket_har"
GET,/thvendor/campaignLabel/listCampaignLabel.xhtml,thvendor,[crawler] Campaign labels / categories.,False,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success",200,"current_playwright_crawl,current_spa_static_template,local_wk_endpoints_registry"
GET,/thvendor/common/getCityList.xhtml,thvendor,列表/分页查询接口,False,{},{},{},,,current_spa_static_template
POST,/thvendor/common/getCountryAllList.xhtml,thvendor,列表/分页查询接口,False,{},{},{},,,current_spa_static_template
GET,/thvendor/common/getCountyList.xhtml,thvendor,列表/分页查询接口,False,{},{},{},,,current_spa_static_template
POST,/thvendor/common/getProvinceAllList.xhtml,thvendor,列表/分页查询接口,False,{},{},{},,,current_spa_static_template
POST,/thvendor/common/getProvinceList.xhtml,thvendor,列表/分页查询接口,False,{},{},{},,,current_spa_static_template
GET,/thvendor/common/getServerTime.xhtml,thvendor,静态包发现，未在本次抓包中拿到业务说明,False,{},{},{},,,current_spa_static_template
GET,/thvendor/common/prepareUpload.xhtml,thvendor,准备上传并获取 uploadToken,False,{},{},{},,,current_spa_static
GET,/thvendor/companyBaseInfo/getDisplayConfig.xhtml,thvendor,[crawler] Per-site display config loaded on every page entry.,False,{},{},"{""cmpappkey"": ""ShanghaiCS"", ""lang"": ""en"", ""accept"": ""application/json, text/plain, */*""}","errcode,data,success",200,"current_playwright_crawl,local_wk_endpoints_registry"
GET,/thvendor/dynamicvalue/getDynamicValueListByField.xhtml,thvendor,列表/分页查询接口,False,{},{},{},,,current_spa_static_template
